Position,Game Name,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update
1014,MySims    ,DS,Electronic Arts  ,EA Redwood Shores  ,N/A  ,6.7  ,N/A  ,N/A,3.66m,1.58m,1.60m,0.08m,0.40m,18th Sep 07  ,N/A
1015,Dark Souls III    ,PS4,Namco Bandai Games  ,From Software  ,N/A  ,N/A  ,N/A  ,3.66m,N/A,N/A,N/A,N/A,N/A,12th Apr 16  ,23rd Apr 18
1016,Banjo-Kazooie    ,N64,Nintendo  ,Rare Ltd.  ,N/A  ,9.3  ,9.4  ,3.65m,N/A,N/A,N/A,N/A,N/A,31st May 98  ,N/A
1017,SOCOM: U.S. Navy SEALs    ,PS2,Sony Computer Entertainment  ,Zipper Interactive  ,N/A  ,8.0  ,N/A  ,N/A,3.65m,2.53m,0.81m,0.06m,0.24m,27th Aug 02  ,N/A
1018,Battlefield 4    ,PS3,Electronic Arts  ,EA DICE  ,8.0  ,8.7  ,N/A  ,N/A,3.64m,1.31m,1.50m,0.27m,0.55m,29th Oct 13  ,04th Jan 18
1019,Jak and Daxter: The Precursor Legacy    ,PS2,Sony Computer Entertainment  ,Naughty Dog  ,N/A  ,9.0  ,8.9  ,N/A,3.64m,2.08m,1.09m,0.15m,0.33m,04th Dec 01  ,N/A
1020,1-2-Switch    ,NS,Nintendo  ,Nintendo EPD  ,N/A  ,5.7  ,N/A  ,3.63m,N/A,N/A,N/A,N/A,N/A,03rd Mar 17  ,19th Nov 18
1021,Pokémon Snap    ,N64,Nintendo  ,HAL Laboratory  ,N/A  ,7.9  ,N/A  ,3.63m,N/A,N/A,N/A,N/A,N/A,30th Jun 99  ,20th Apr 18
1022,Pro Evolution Soccer 2008    ,PS2,Konami  ,Konami  ,N/A  ,8.2  ,N/A  ,N/A,3.63m,0.05m,0.00m,0.64m,2.93m,11th Mar 08  ,N/A
1023,FIFA Soccer 10    ,PS3,EA Sports  ,EA Canada  ,9.0  ,9.0  ,N/A  ,N/A,3.63m,0.60m,2.46m,0.05m,0.52m,20th Oct 09  ,N/A
1024,Guitar Hero: World Tour    ,Wii,Activision  ,Vicarious Visions  ,N/A  ,8.4  ,N/A  ,N/A,3.62m,2.32m,0.96m,N/A,0.34m,26th Oct 08  ,N/A
1025,Star Wars Battlefront    ,PS2,LucasArts  ,Pandemic Studios  ,N/A  ,8.1  ,N/A  ,N/A,3.61m,1.93m,1.22m,0.03m,0.44m,20th Sep 04  ,N/A
1026,Doom II    ,PC,GT Interactive  ,id Software  ,N/A  ,9.3  ,N/A  ,N/A,3.61m,2.05m,1.40m,N/A,0.16m,30th Sep 94  ,N/A
1027,The Simpsons: Road Rage    ,PS2,Electronic Arts  ,Radical Entertainment  ,N/A  ,6.1  ,N/A  ,N/A,3.61m,2.02m,1.17m,N/A,0.42m,24th Nov 01  ,N/A
1028,BattleBlock Theater    ,PC,The Behemoth  ,The Behemoth  ,N/A  ,N/A  ,N/A  ,3.61m,N/A,N/A,N/A,N/A,N/A,15th May 14  ,18th Nov 18
1029,Army of Two    ,Series,Electronic Arts  ,EA Montreal  ,N/A  ,N/A  ,N/A  ,3.60m,N/A,N/A,N/A,N/A,N/A,06th Mar 08  ,15th Aug 21
1030,Guitar Hero: Aerosmith    ,All,Activision  ,Neversoft  ,N/A  ,N/A  ,N/A  ,3.60m,N/A,N/A,N/A,N/A,N/A,29th Jun 08  ,01st Nov 20
1031,Hitman: Absolution    ,All,Square Enix  ,IO Interactive  ,N/A  ,N/A  ,N/A  ,3.60m,N/A,N/A,N/A,N/A,N/A,20th Nov 12  ,26th Oct 20
1032,Metal Gear Solid 3: Snake Eater    ,PS2,Konami  ,KCEJ / Kojima Productions  ,N/A  ,9.0  ,N/A  ,3.60m,N/A,N/A,N/A,N/A,N/A,17th Nov 04  ,N/A
1033,Assassin's Creed Syndicate    ,PS4,Ubisoft  ,Ubisoft Quebec  ,N/A  ,8.6  ,N/A  ,N/A,3.60m,0.90m,2.06m,0.08m,0.55m,23rd Oct 15  ,04th May 18
1034,Star Wars Battlefront II    ,PS2,LucasArts  ,Pandemic Studios  ,N/A  ,8.5  ,N/A  ,N/A,3.59m,2.18m,1.02m,0.03m,0.37m,01st Nov 05  ,N/A
1035,Assassin's Creed: Unity    ,XOne,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,N/A,3.58m,2.34m,0.90m,0.00m,0.34m,11th Nov 14  ,04th May 18
1036,Cooking Mama 2: Dinner With Friends    ,DS,Majesco  ,Office Create  ,N/A  ,6.9  ,N/A  ,N/A,3.58m,1.60m,1.49m,0.10m,0.39m,13th Nov 07  ,N/A
1037,Undertale    ,PC,Toby Fox  ,Toby Fox  ,N/A  ,N/A  ,N/A  ,3.58m,N/A,N/A,N/A,N/A,N/A,15th Sep 15  ,07th Jan 18
1038,WWF SmackDown!    ,PS,THQ  ,Yuke's  ,N/A  ,N/A  ,N/A  ,N/A,3.58m,2.01m,1.35m,0.06m,0.16m,01st Mar 00  ,N/A
1039,Battlefield 4    ,X360,Electronic Arts  ,EA DICE  ,N/A  ,8.7  ,N/A  ,N/A,3.54m,2.16m,1.05m,0.02m,0.32m,29th Oct 13  ,04th Jan 18
1040,Grand Theft Auto: Liberty City Stories    ,PS2,Rockstar Games  ,Rockstar Leeds  ,N/A  ,8.3  ,N/A  ,N/A,3.54m,1.56m,1.40m,0.07m,0.50m,06th Jun 06  ,N/A
1041,The Getaway    ,PS2,Sony Computer Entertainment  ,Team Soho  ,N/A  ,7.7  ,N/A  ,N/A,3.54m,1.23m,1.77m,0.05m,0.49m,19th Jan 03  ,N/A
1042,Tomb Raider III: Adventures of Lara Croft    ,PS,Eidos Interactive  ,Core Design Ltd.  ,N/A  ,8.2  ,N/A  ,N/A,3.54m,1.66m,1.58m,0.12m,0.18m,21st Nov 98  ,N/A
1043,Batman: Arkham Asylum    ,X360,Eidos Interactive  ,Rocksteady Studios  ,9.0  ,9.1  ,N/A  ,N/A,3.54m,2.24m,0.95m,0.02m,0.33m,25th Aug 09  ,N/A
1044,Assassin's Creed: Brotherhood    ,X360,Ubisoft  ,Ubisoft Montreal  ,N/A  ,9.1  ,N/A  ,N/A,3.53m,2.87m,0.39m,0.03m,0.25m,16th Nov 10  ,N/A
1045,James Bond 007: Agent Under Fire    ,PS2,Electronic Arts  ,EA Redwood Shores  ,N/A  ,N/A  ,N/A  ,N/A,3.53m,1.90m,1.13m,0.10m,0.41m,13th Nov 01  ,N/A
1046,Jump Force    ,PS4,Bandai Namco Entertainment  ,Spike Chunsoft  ,N/A  ,N/A  ,N/A  ,3.53m,N/A,N/A,N/A,N/A,N/A,15th Feb 19  ,11th Jun 18
1047,LEGO Star Wars: The Video Game    ,PS2,Eidos Interactive  ,Traveller's Tales  ,N/A  ,7.9  ,N/A  ,N/A,3.53m,1.98m,1.14m,0.01m,0.41m,02nd Apr 05  ,N/A
1048,Resident Evil 5    ,X360,Capcom  ,Capcom  ,8.4  ,8.6  ,N/A  ,N/A,3.53m,2.13m,0.93m,0.12m,0.34m,13th Mar 09  ,N/A
1049,Rugrats in Paris: The Movie    ,PS,THQ  ,Avalanche Software  ,N/A  ,N/A  ,N/A  ,N/A,3.52m,1.96m,1.33m,N/A,0.23m,29th Oct 00  ,N/A
1050,NBA 2K17    ,PS4,2K Sports  ,Visual Concepts  ,N/A  ,9.0  ,N/A  ,N/A,3.52m,2.28m,0.59m,0.03m,0.63m,16th Sep 16  ,28th Mar 18
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
901,Dead Rising 3    ,All,Microsoft Studios  ,Capcom  ,N/A  ,N/A  ,N/A  ,4.10m,N/A,N/A,N/A,N/A,N/A,22nd Nov 13  ,02nd Nov 22
902,Monster Hunter 4    ,3DS,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,4.10m,N/A,N/A,N/A,N/A,N/A,14th Sep 13  ,07th Jan 19
903,Sakura Wars    ,Series,Sega  ,Red Entertainment  ,N/A  ,N/A  ,N/A  ,4.10m,N/A,N/A,N/A,N/A,N/A,30th Mar 10  ,08th Feb 20
904,Sengoku BASARA    ,Series,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,4.10m,N/A,N/A,N/A,N/A,N/A,12th Oct 05  ,04th Feb 20
905,Street Fighter II Turbo    ,SNES,Capcom  ,Capcom  ,N/A  ,9.0  ,N/A  ,4.10m,N/A,N/A,N/A,N/A,N/A,01st Aug 93  ,N/A
906,Dragon Ball: Xenoverse 2    ,PS4,Namco Bandai Games  ,Dimps Corporation  ,N/A  ,7.1  ,N/A  ,4.09m,N/A,N/A,N/A,N/A,N/A,25th Oct 16  ,03rd Mar 18
907,Crash Bandicoot 2: Cortex Strikes Back    ,PS,Sony Computer Entertainment  ,Naughty Dog  ,N/A  ,8.6  ,N/A  ,4.09m,N/A,N/A,N/A,N/A,N/A,31st Oct 97  ,N/A
908,Fallout: New Vegas    ,X360,Bethesda Softworks  ,Obsidian Entertainment  ,7.7  ,8.2  ,N/A  ,N/A,4.08m,2.67m,1.03m,0.04m,0.34m,19th Oct 10  ,N/A
909,Assassin's Creed Origins    ,PS4,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,N/A,4.06m,1.22m,2.11m,0.11m,0.63m,27th Oct 17  ,10th Jan 18
910,Far Cry 4    ,PS4,Ubisoft  ,Ubisoft Montreal  ,N/A  ,8.4  ,N/A  ,N/A,4.06m,1.18m,2.14m,0.11m,0.63m,18th Nov 14  ,23rd Jan 18
911,Carnival Games    ,Wii,Global Star Software  ,Cat Daddy Games  ,N/A  ,4.2  ,N/A  ,N/A,4.06m,2.12m,1.47m,0.05m,0.42m,28th Aug 07  ,N/A
912,World Soccer Winning Eleven 9    ,PS2,Konami  ,Konami Computer Entertainment Tokyo  ,N/A  ,8.9  ,N/A  ,N/A,4.06m,0.12m,2.26m,0.90m,0.77m,07th Feb 06  ,N/A
913,Forza Motorsport 2    ,X360,Microsoft Game Studios  ,Turn 10 Studios  ,N/A  ,9.1  ,N/A  ,N/A,4.05m,2.35m,1.27m,0.03m,0.41m,29th May 07  ,N/A
914,Namco Museum Vol.3    ,PS,Namco  ,Namco  ,N/A  ,N/A  ,N/A  ,N/A,4.05m,2.28m,1.55m,0.16m,0.06m,31st Jan 97  ,N/A
915,Tekken Tag Tournament    ,PS2,Namco  ,Namco  ,N/A  ,8.7  ,N/A  ,N/A,4.05m,1.68m,1.51m,0.51m,0.35m,25th Oct 00  ,N/A
916,Super Mario Maker    ,WiiU,Nintendo  ,Nintendo EAD  ,N/A  ,8.8  ,N/A  ,4.02m,N/A,N/A,N/A,N/A,N/A,11th Sep 15  ,29th Mar 18
917,Golf    ,NES,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,4.01m,N/A,N/A,N/A,N/A,N/A,18th Oct 85  ,N/A
918, DmC: Devil May Cry    ,All,Capcom  ,Ninja Theory  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,15th Jan 13  ,10th Oct 20
919,Ace Combat 7: Skies Unknown    ,All,Bandai Namco Entertainment  ,Bandai Namco Studios  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,18th Jan 19  ,03rd Dec 20
920,BioShock    ,All,2K Games  ,2K Boston  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,21st Aug 07  ,03rd Nov 20
921,Company of Heroes    ,Series,THQ  ,Relic Entertainment  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,12th Sep 06  ,16th Nov 20
922,DayZ    ,PC,Bohemia Interactive  ,Bohemia Interactive  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,09th Jul 12  ,20th Dec 20
923,Dead Space 2    ,All,Electronic Arts  ,Visceral Games  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,25th Jan 11  ,04th Jan 21
924,Diablo II    ,PC,Blizzard Entertainment  ,Blizzard North  ,N/A  ,8.8  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,29th Jun 00  ,N/A
925,Disney's Aladdin    ,GEN,Sega  ,Virgin Interactive  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,11th Nov 93  ,N/A
926,Driver    ,All,GT Interactive  ,Reflections Interactive  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,30th Jun 99  ,27th Sep 22
927,EyeToy Play    ,PS2,Sony Computer Entertainment  ,SCEE London Studio  ,N/A  ,7.5  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,04th Nov 03  ,N/A
928,Far Cry Primal    ,All,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,23rd Feb 16  ,28th Oct 20
929,Frogger    ,2600,Parker Bros.  ,Konami  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,01st Jan 82  ,N/A
930,God Eater    ,Series,D3 Publisher  ,Shift  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,15th Mar 11  ,12th Mar 20
931,Hyrule Warriors: Age of Calamity    ,NS,Nintendo  ,Koei Tecmo Games  ,5.0  ,9.0  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,20th Nov 20  ,12th Sep 20
932,Just Dance 2015    ,All,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,21st Oct 14  ,24th Oct 20
933,Lego Jurassic World    ,All,Warner Bros. Interactive Entertainment  ,TT Fusion  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,12th Jun 15  ,22nd Oct 20
934,Little Nightmares    ,Series,Bandai Namco Entertainment  ,Tarsier Studios  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,28th Apr 17  ,15th Mar 20
935,Madden NFL 10    ,All,EA Sports  ,EA Tiburon  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,13th Aug 09  ,15th Oct 20
936,Madden NFL 2005    ,All,EA Sports  ,EA Tiburon  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,09th Aug 04  ,19th Oct 22
937,Max Payne    ,All,Gathering of Developers  ,Remedy Entertainment  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,23rd Jul 01  ,13th Mar 21
938,Max Payne 3    ,All,Rockstar Games  ,Rockstar Studios  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,15th May 12  ,06th Nov 20
939,Monster Hunter: World    ,PS4,Capcom  ,Capcom  ,N/A  ,9.3  ,9.0  ,4.00m,N/A,N/A,N/A,N/A,N/A,26th Jan 18  ,30th Jan 18
940,Monster Rancher    ,Series,Tecmo  ,Tecmo  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,30th Nov 97  ,23rd Jan 21
941,NBA 2K12    ,All,2K Sports  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,04th Oct 11  ,22nd Oct 20
942,Need for Speed Rivals    ,All,Electronic Arts  ,Ghost Games  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,15th Nov 13  ,20th Oct 20
943,Need for Speed: Shift    ,All,Electronic Arts  ,Slightly Mad Studios  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,15th Sep 09  ,15th Oct 20
944,Pitfall!    ,2600,Activision  ,Activision  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,20th Apr 82  ,N/A
945,Ratatouille    ,All,THQ  ,Heavy Iron Studios  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,26th Jun 07  ,01st Mar 21
946,Risk of Rain    ,Series,Chucklefish  ,Hopoo Games  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,08th Nov 13  ,04th Mar 20
947,Rock Band    ,All,MTV Games  ,Harmonix Music Systems  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,20th Nov 07  ,18th Apr 21
948,Rocksmith    ,Series,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,18th Oct 11  ,13th Jun 21
949,S.T.A.L.K.E.R.    ,Series,THQ  ,GSC Game World  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,20th Mar 07  ,08th Jul 21
950,Star Fox 64    ,N64,Nintendo  ,Nintendo EAD  ,N/A  ,9.0  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,01st Jul 97  ,N/A
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1101,SimCity 2000    ,All,Maxis  ,Maxis  ,N/A  ,N/A  ,N/A  ,3.40m,N/A,N/A,N/A,N/A,N/A,01st Jan 93  ,27th Nov 20
1102,World of Warcraft: Battle for Azeroth    ,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,N/A  ,N/A  ,N/A  ,3.40m,N/A,N/A,N/A,N/A,N/A,14th Aug 18  ,19th Apr 18
1103,FIFA Soccer 2003    ,PS2,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,3.40m,0.46m,2.28m,0.05m,0.61m,14th Nov 02  ,N/A
1104,Spintires    ,Series,IMGN PRO  ,Saber Interactive  ,N/A  ,N/A  ,N/A  ,3.39m,N/A,N/A,N/A,N/A,N/A,13th Jun 14  ,04th Mar 20
1105,Crash Bash    ,PS,Sony Computer Entertainment  ,Eurocom Entertainment Software  ,N/A  ,6.8  ,N/A  ,N/A,3.39m,1.56m,1.47m,0.19m,0.17m,06th Nov 00  ,N/A
1106,Gears of War 4    ,XOne,Microsoft Studios  ,The Coalition  ,N/A  ,N/A  ,N/A  ,N/A,3.38m,2.17m,0.90m,N/A,0.32m,11th Oct 16  ,13th Jan 18
1107,Mario Baseball    ,Series,Nintendo  ,Namco  ,N/A  ,N/A  ,N/A  ,3.37m,N/A,N/A,N/A,N/A,N/A,29th Aug 05  ,21st Feb 20
1108,Tekken: Dark Resurrection    ,PSP,Namco Bandai  ,8ing/Raizing  ,8.9  ,8.7  ,N/A  ,3.37m,N/A,N/A,N/A,N/A,N/A,25th Jul 06  ,N/A
1109,The Elder Scrolls V: Skyrim Special Edition    ,PS4,Bethesda Softworks  ,Bethesda Softworks  ,N/A  ,8.3  ,N/A  ,N/A,3.36m,1.24m,1.50m,0.08m,0.54m,28th Oct 16  ,01st Apr 18
1110,Watch Dogs 2    ,PS4,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,N/A,3.36m,0.98m,1.74m,0.12m,0.52m,15th Nov 16  ,N/A
1111,The Legend of Zelda: Majora's Mask    ,N64,Nintendo  ,Nintendo EAD  ,N/A  ,9.3  ,N/A  ,3.36m,N/A,N/A,N/A,N/A,N/A,25th Oct 00  ,N/A
1112,WWF War Zone    ,PS,Acclaim Entertainment  ,Iguana Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,3.36m,2.47m,0.76m,N/A,0.13m,14th Jul 98  ,N/A
1113,Yoshi's Island DS    ,DS,Nintendo  ,Artoon  ,N/A  ,8.2  ,N/A  ,3.36m,N/A,N/A,N/A,N/A,N/A,13th Nov 06  ,N/A
1114,Final Fantasy XIII-2    ,All,Square Enix  ,Square  ,N/A  ,N/A  ,N/A  ,3.34m,N/A,N/A,N/A,N/A,N/A,31st Jan 12  ,19th Oct 20
1115,Assassin's Creed IV: Black Flag    ,X360,Ubisoft  ,Ubisoft Montreal  ,N/A  ,8.5  ,N/A  ,N/A,3.34m,1.90m,1.14m,0.01m,0.30m,29th Oct 13  ,22nd Mar 18
1116,NBA 2K18    ,PS4,2K Sports  ,Visual Concepts  ,N/A  ,8.1  ,N/A  ,N/A,3.34m,2.13m,0.57m,0.04m,0.59m,19th Sep 17  ,02nd Apr 18
1117,Big Brain Academy: Wii Degree    ,Wii,Nintendo  ,Nintendo EAD  ,N/A  ,7.1  ,N/A  ,3.34m,N/A,N/A,N/A,N/A,N/A,11th Jun 07  ,N/A
1118,Paper Mario: The Origami King    ,NS,Nintendo  ,Intelligent Systems  ,8.0  ,N/A  ,9.0  ,3.34m,N/A,N/A,N/A,N/A,N/A,17th Jul 20  ,01st Aug 20
1119,Luigi's Mansion    ,GC,Nintendo  ,Nintendo EAD  ,N/A  ,7.9  ,N/A  ,3.33m,N/A,N/A,N/A,N/A,N/A,17th Nov 01  ,N/A
1120,James Bond 007: Nightfire    ,PS2,Electronic Arts  ,Eurocom Entertainment Software  ,N/A  ,N/A  ,N/A  ,N/A,3.33m,1.45m,1.29m,0.12m,0.46m,18th Nov 02  ,N/A
1121,Star Wars Episode III: Revenge of the Sith    ,PS2,LucasArts  ,The Collective  ,N/A  ,N/A  ,N/A  ,N/A,3.32m,1.47m,1.39m,0.03m,0.43m,04th May 05  ,N/A
1122,Max Payne    ,PS2,Rockstar Games  ,Remedy Entertainment  ,N/A  ,8.1  ,N/A  ,N/A,3.31m,1.99m,1.05m,0.05m,0.22m,06th Dec 01  ,N/A
1123,Madden NFL 16    ,PS4,EA Sports  ,EA Tiburon  ,N/A  ,8.2  ,N/A  ,N/A,3.30m,2.39m,0.31m,N/A,0.61m,25th Aug 15  ,31st Mar 18
1124,Breath of Fire    ,Series,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,3.30m,N/A,N/A,N/A,N/A,N/A,10th Aug 94  ,03rd Feb 20
1125,Commandos    ,Series,Eidos Interactive  ,Pyro Studios  ,N/A  ,N/A  ,N/A  ,3.30m,N/A,N/A,N/A,N/A,N/A,28th Aug 98  ,12th Feb 20
1126,Persona 5 Royal    ,All,Sega  ,Atlus  ,N/A  ,N/A  ,N/A  ,3.30m,N/A,N/A,N/A,N/A,N/A,31st Mar 20  ,01st Dec 22
1127,Sonic Colors    ,All,Sega  ,Sonic Team/Dimps Corporation  ,N/A  ,N/A  ,N/A  ,3.30m,N/A,N/A,N/A,N/A,N/A,16th Nov 10  ,14th Nov 20
1128,World of Warcraft: Legion    ,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,N/A  ,N/A  ,N/A  ,3.30m,N/A,N/A,N/A,N/A,N/A,29th Aug 16  ,22nd Apr 18
1129,World of Warcraft: Warlords of Draenor    ,PC,Activision Blizzard  ,Blizzard Entertainment  ,N/A  ,N/A  ,N/A  ,3.30m,N/A,N/A,N/A,N/A,N/A,13th Nov 14  ,22nd Apr 18
1130,Dark Souls III    ,PC,Namco Bandai Games  ,From Software  ,N/A  ,N/A  ,N/A  ,3.29m,N/A,N/A,N/A,N/A,N/A,11th Apr 16  ,02nd Nov 18
1131,Dark Souls: Prepare to Die Edition    ,PC,Namco Bandai Games  ,From Software  ,N/A  ,N/A  ,N/A  ,3.29m,N/A,N/A,N/A,N/A,N/A,24th Aug 12  ,01st Feb 19
1132,The Lord of the Rings: The Return of the King    ,PS2,Electronic Arts  ,"Hypnos Entertainment, Inc.  ",N/A  ,8.4  ,N/A  ,N/A,3.28m,1.50m,1.28m,0.05m,0.46m,05th Nov 03  ,N/A
1133,Spyro: Year of the Dragon    ,PS,Sony Computer Entertainment  ,Insomniac Games  ,N/A  ,9.1  ,N/A  ,3.28m,N/A,N/A,N/A,N/A,N/A,23rd Oct 00  ,N/A
1134,Half-Life 2: Episode Two    ,PC,Valve Software  ,Valve Corporation  ,N/A  ,9.1  ,N/A  ,3.28m,N/A,N/A,N/A,N/A,N/A,10th Oct 07  ,N/A
1135,The Room Two    ,All,Fireproof Games  ,Fireproof Games  ,N/A  ,N/A  ,N/A  ,3.28m,N/A,N/A,N/A,N/A,N/A,12th Dec 13  ,18th Dec 20
1136,Madden NFL 17    ,PS4,EA Sports  ,EA Tiburon  ,N/A  ,8.5  ,N/A  ,N/A,3.28m,2.30m,0.37m,N/A,0.60m,23rd Aug 16  ,01st Apr 18
1137,True Crime: Streets of LA    ,PS2,Activision  ,Luxoflux  ,N/A  ,N/A  ,N/A  ,N/A,3.27m,1.89m,1.05m,0.02m,0.31m,03rd Nov 03  ,N/A
1138,Gran Turismo (PSP)    ,PSP,Sony Computer Entertainment  ,Polyphony Digital  ,N/A  ,N/A  ,N/A  ,N/A,3.27m,0.51m,1.59m,0.31m,0.86m,01st Oct 09  ,03rd Jan 18
1139,Far Cry 3    ,PS3,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,N/A,3.27m,0.88m,1.79m,0.10m,0.50m,04th Dec 12  ,N/A
1140,God of War: Chains of Olympus    ,PSP,Sony Computer Entertainment  ,Ready at Dawn  ,7.9  ,8.9  ,9.5  ,3.26m,N/A,N/A,N/A,N/A,N/A,04th Mar 08  ,N/A
1141,FIFA 16    ,XOne,EA Sports  ,EA Canada  ,N/A  ,8.5  ,N/A  ,N/A,3.25m,0.92m,2.10m,N/A,0.24m,22nd Sep 15  ,01st Apr 18
1142,Flash Focus: Vision Training in Minutes a Day    ,DS,Nintendo  ,Bandai Namco Games  ,N/A  ,6.1  ,N/A  ,3.23m,N/A,N/A,N/A,N/A,N/A,15th Oct 07  ,N/A
1143,Ratchet & Clank: Up Your Arsenal    ,PS2,Sony Computer Entertainment  ,Insomniac Games  ,N/A  ,9.1  ,N/A  ,3.22m,N/A,N/A,N/A,N/A,N/A,03rd Nov 04  ,N/A
1144,007: Tomorrow Never Dies    ,PS,Electronic Arts  ,Black Ops Entertainment  ,N/A  ,6.2  ,N/A  ,N/A,3.21m,1.72m,1.33m,N/A,0.16m,16th Nov 99  ,N/A
1145,L.A. Noire    ,PS3,Rockstar Games  ,Team Bondi  ,N/A  ,9.1  ,N/A  ,N/A,3.21m,1.29m,1.31m,0.12m,0.49m,15th Nov 11  ,N/A
1146,Alan Wake    ,All,Microsoft Game Studios  ,Remedy Entertainment  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,18th May 10  ,09th Jan 21
1147,Baseball    ,NES,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,01st Oct 85  ,N/A
1148,Detroit: Become Human    ,PS4,Sony Interactive Entertainment  ,Quantic Dream  ,8.0  ,8.0  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,25th May 18  ,05th Jun 18
1149,Dragon Age: Origins    ,All,Electronic Arts  ,BioWare  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,03rd Nov 09  ,31st Dec 20
1150,Dragon Quest IV    ,NES,Enix  ,ChunSoft  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,01st Oct 92  ,27th Mar 18
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1151,Dragon Quest VI: Maboroshi no Daichi    ,SNES,Enix  ,Heart Beat  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,09th Dec 95  ,N/A
